,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
,-0.038847111,0,-0.060480903,-0.001736139,0,-0.024842288,-0.001634002,-0.000620346,5.68398E-05,0,0,-0.007850086,-0.003622707,-0.008535827,0,0,0,0,0,-0.000117001,-0.00400283,-0.001411593,-0.041436716,0,-0.044812971,0,0,0,-0.000797474,0,0,0,0,-0.071541849,0,-0.079576262,0,0,-0.002666647,-0.028632343,0.016353557,0,-0.000479213,-0.020675497,-0.052403974,0,-0.018453143,-0.003133264,0,0,0,-0.000459534,0,0,0,0.031117392,0,0.041503923,0,0,0.000710446,0.018184855,0,0,0,0,0.049227523,0.003063809,0.098899224,-0.007268562,0,0,0.009535377,0.000135374,0,0,0,0.033702922,0,0.059027683,0,0,0,0.002739577,0,-0.012988278,0,0,0.012101673,0,0.120496445,0,0,0.003533084,0,-0.012389611,0,-0.000198262,0,0.005616208,-0.002014279,0,0,-0.008724021,0,-0.006327127,0,0.00034299,0,0
,blue_player1_KDA,,,-0.038847111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,blue_player1_CSM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,blue_player1_GPM,,,-0.060480903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,blue_player1_KP%,,,-0.001736139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,blue_player1_DMG%,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,blue_player1_DPM,,,-0.024842288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,blue_champion1_KDA,,,-0.001634002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,blue_champion1_Avg_BT,,,-0.000620346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,blue_champion1_CSM,,,5.68398E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
