Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Kalista,27,39,2%,15,12,56%,4.5,4.4,32:59:00,9.1,424,445,8.7,335,258
Darius,24,37,2%,14,10,58%,2.8,7.1,32:21:00,7.7,380,402,7.2,494,67
Vayne,42,19,2%,15,27,36%,2.3,8.6,30:05:00,8.5,444,415,3,-63,22
Cassiopeia,31,25,2%,13,18,42%,2.9,4.3,33:03:00,8.6,511,405,2.4,-273,-173
Lissandra,29,26,2%,18,11,62%,3.4,8.3,32:09:00,8.1,411,373,4.2,36,14
Riven,22,30,2%,5,17,23%,1.6,3.7,32:10:00,8.2,312,388,-10.5,-461,-486
Shen,31,21,2%,13,18,42%,3.6,7.5,31:11:00,5.4,284,318,-16.7,-681,-255
Nocturne,33,17,2%,14,19,42%,3,4.7,32:15:00,5.9,283,339,8.4,49,266
Ashe,37,11,2%,17,20,46%,4,7.5,32:22:00,8.4,477,406,-1.5,4,-55
KhaZix,13,34,2%,8,5,62%,3.7,3.8,32:28:00,6.1,455,385,3.3,76,258
Zed,26,21,2%,17,9,65%,3.9,7.2,33:07:00,7.2,444,400,2.7,208,312
Soraka,32,14,1%,15,17,47%,3.9,5,29:25:00,3.6,174,278,-18.5,-546,-66
Evelynn,7,36,1%,6,1,86%,4.5,3.2,29:24:00,5.9,529,377,-0.7,37,375
Ekko,13,29,1%,6,7,46%,2.7,4.4,28:17:00,8.2,501,433,6.8,795,392
Twitch,26,13,1%,14,12,54%,3.3,3.2,32:31:00,8.1,581,421,-13,-714,-133
Sejuani,31,6,1%,12,19,39%,2.8,4,29:59:00,5.8,304,333,-5,-131,-133
Dr. Mundo,18,11,1%,9,9,50%,2.6,8.8,34:07:00,7.7,590,372,-3.2,-179,28
VelKoz,13,16,1%,10,3,77%,6.5,5.3,32:38:00,7.9,705,414,5.8,293,54
Vladimir,19,9,1%,9,10,47%,3.4,8.2,34:45:00,8,612,396,11.1,284,453
Bard,20,8,1%,10,10,50%,3.2,7.1,31:19:00,1,172,241,-23.1,-366,-601
Ivern,15,13,1%,9,6,60%,3.6,4.6,28:43:00,5.2,193,306,-21,-975,-558
Kindred,18,9,1%,10,8,56%,3.4,7,29:33:00,7.1,438,402,11.3,721,519
Morgana,19,7,1%,11,8,58%,4.4,6.9,30:39:00,0.7,243,256,-10.8,323,173
Sona,17,6,1%,8,9,47%,4.2,7.2,29:11:00,1.2,161,249,-8.9,-118,284
Miss Fortune,15,7,1%,8,7,53%,3.7,7.7,32:19:00,8.9,611,445,6.4,-33,-36
Annie,4,17,1%,1,3,25%,3,2.8,31:56:00,6.8,481,357,13,-216,-786
Chogath,17,4,1%,8,9,47%,1.8,8.5,32:07:00,7.4,353,357,-9.4,-596,-414
Taric,17,4,1%,7,10,41%,2.9,8,31:48:00,1.2,74,231,0.6,-95,-24
Nasus,12,8,1%,6,6,50%,2.3,8.3,30:38:00,7.3,500,386,-23.6,-1385,-777
Mordekaiser,14,5,1%,4,10,29%,1.5,7,32:05:00,7.5,448,368,-3.2,-94,-9
Kled,4,15,1%,4,0,100%,5.4,3.8,35:44:00,7.8,503,436,-9,104,90
Lillia,11,8,1%,5,6,45%,2.7,7.9,31:22:00,6.4,368,363,7,217,47
Sivir,14,2,1%,7,7,50%,2.7,9.5,31:10:00,9.6,449,415,1.9,-242,20
KogMaw,12,3,0%,5,7,42%,2.2,9.7,29:32:00,8.4,571,396,3.9,147,46
Zac,10,3,0%,5,5,50%,3.6,9,30:46:00,3.8,286,305,-9.5,-291,-281
Kayn,12,1,0%,3,9,25%,2.4,8,30:44:00,6.4,477,395,1.8,7,-131
Shyvana,12,0,0%,4,8,33%,2.3,-,33:07:00,7.7,512,388,14.7,340,697
Heimerdinger,3,8,0%,1,2,33%,1.4,2.9,32:11:00,7.8,488,363,3,-86,556
Malzahar,7,3,0%,5,2,71%,4.7,7.7,33:20:00,8,440,389,-7.3,-95,504
Skarner,6,2,0%,2,4,33%,3.2,8.5,34:49:00,4.9,165,306,0.4,71,-222
Taliyah,6,2,0%,1,5,17%,2.3,3,34:15:00,4.4,426,326,-5.3,622,44
Anivia,5,2,0%,3,2,60%,3.1,5.5,30:26:00,8.9,488,391,17.4,415,468
Shaco,6,1,0%,3,3,50%,4,9,30:42:00,5.1,310,348,-5.5,319,-142
Singed,5,1,0%,4,1,80%,2.3,9,33:38:00,5.6,358,334,-15.2,-389,-301
Yorick,5,1,0%,3,2,60%,2.7,10,26:23:00,9.1,457,439,6.8,506,127
Fiddlesticks,0,5,0%,,,,,2.8,0:00,,,,,,
Vi,5,0,0%,2,3,40%,1.7,-,34:35:00,5.5,259,330,-16.8,-1442,-1136
Maokai,4,0,0%,1,3,25%,1.7,-,34:36:00,2.3,287,231,-13,-1221,-853
Amumu,1,2,0%,0,1,0%,1.8,7.5,30:02:00,1.4,174,225,-,-,-
Kayle,1,2,0%,1,0,100%,7,7,29:28:00,9,701,466,-15,135,-721
Nunu,1,2,0%,1,0,100%,7,4,30:08:00,5.3,313,357,0,574,-203
Rengar,2,1,0%,2,0,100%,5.2,4,28:17:00,7.3,660,444,13,1400,731
Teemo,3,0,0%,1,2,33%,2.5,-,30:28:00,7.1,825,433,15.7,1381,1193
Neeko,0,3,0%,,,,,1.3,0:00,,,,,,
Fizz,2,0,0%,0,2,0%,1.9,-,32:14:00,6.3,265,359,-18,-1124,-696
Pantheon,2,0,0%,2,0,100%,2.7,-,31:28:00,5,370,337,3,592,158
Illaoi,0,2,0%,,,,,4,0:00,,,,,,
Aurelion Sol,2,0,0%,1,1,50%,8,-,34:37:00,8.7,601,433,-20.5,-556,-442
Elise,1,0,0%,0,1,0%,0.8,-,41:54:00,4.1,243,272,-2,195,-359
Master Yi,1,0,0%,0,1,0%,1.2,-,25:40:00,4.1,291,312,-46,-2238,-1879
Quinn,0,1,0%,,,,,8,0:00,,,,,,
Warwick,1,0,0%,1,0,100%,2.4,-,26:14:00,5.6,553,405,23,1880,1078
Zyra,1,0,0%,0,1,0%,1.7,-,29:53:00,0.8,152,205,-15,-369,284
Brand,0,0,0%,,,,,-,0:00,,,,,,
Garen,0,0,0%,,,,,-,0:00,,,,,,
Katarina,0,0,0%,,,,,-,0:00,,,,,,
Rammus,0,0,0%,,,,,-,0:00,,,,,,
Swain,0,0,0%,,,,,-,0:00,,,,,,
