Ranking,,Tier,LP
424,Qusiba daye,Grandmaster,496
425,Witt Mid,Grandmaster,495
426,베란다고양이,Grandmaster,495
427,mayuanshiren,Grandmaster,494
428,하인즈,Grandmaster,493
429,아모고토모타죠아모고토모타죠,Grandmaster,492
430,리그오브레전드ll,Grandmaster,492
431,Enosh1,Grandmaster,491
432,be a Good,Grandmaster,491
433,LSB Courage,Grandmaster,491
434,11baby,Grandmaster,491
435,Moo1,Grandmaster,490
436,zxcvyn,Grandmaster,489
437,오노데라 레이,Grandmaster,489
438,Thanatos,Grandmaster,489
439,Noticed,Grandmaster,488
440,FPX q2380023067c,Grandmaster,486
441,자신감의보조,Grandmaster,486
442,매 혹,Grandmaster,485
443,이탈리야 전문점,Grandmaster,485
444,신장 과부,Grandmaster,484
445,JINTIANHAORE,Grandmaster,483
446,Bellwest,Grandmaster,483
447,므라기,Grandmaster,483
448,Leminem,Grandmaster,482
449,dayuluoxia,Grandmaster,482
450,qingxuzhishen,Grandmaster,481
451,Golden mole,Grandmaster,481
452,로또그랩전문,Grandmaster,480
453,kratosgf,Grandmaster,479
454,전서방 닭갈비,Grandmaster,479
455,Happie,Grandmaster,478
456,yyzx,Grandmaster,478
457,Yorick,Grandmaster,478
458,벼향기,Grandmaster,477
459,Tiancaishaonian,Grandmaster,477
460,태기베어,Grandmaster,477
461,1998zhg,Grandmaster,477
462,BRO Soboro,Grandmaster,476
463,그땐 그저 좋았다,Grandmaster,475
464,asdada,Grandmaster,474
465,ZED99,Grandmaster,474
466,좔리다,Grandmaster,474
467,박치기공룡입니다,Grandmaster,474
468,Southwind17,Grandmaster,473
469,Top Joker 6,Grandmaster,473
470,cheng xiao yu,Grandmaster,471
471,SounDA,Grandmaster,471
472,전설이 될 남자,Grandmaster,471
473,okinin,Grandmaster,469
474,6.97412E+15,Grandmaster,469
475,FEMALE CHEETAH,Grandmaster,469
476,GSJ,Grandmaster,468
477,외길인생 샤코,Grandmaster,468
478,xiongdimen,Grandmaster,468
479,꽉잡아여,Grandmaster,468
480,FIORAKlNG,Grandmaster,467
481,VG 뽀오,Grandmaster,467
482,Introverted Ornn,Grandmaster,466
483,KcitselddiF,Grandmaster,466
484,불이과,Grandmaster,465
485,lavazz,Grandmaster,465
486,말도 안된다1,Grandmaster,463
487,핫소스구독좋아요,Grandmaster,462
488,L1sure,Grandmaster,462
489,희포리,Grandmaster,461
490,DNK01,Grandmaster,460
491,BadvibesForeve2,Grandmaster,458
492,dasdqwr,Grandmaster,458
493,haohaohaohao,Grandmaster,458
494,가끔 이러다1,Grandmaster,458
495,with Qowy,Grandmaster,458
496,초보강아지,Grandmaster,457
497,불운소년,Grandmaster,457
498,cxybaby,Grandmaster,457
499,Vsta1,Grandmaster,457
500,유령송 1시간반복,Grandmaster,457
501,갱붕이,Grandmaster,456
502,19762345843,Grandmaster,455
503,내미드짱쌘데,Grandmaster,455
504,Capper,Grandmaster,455
505,오스기,Grandmaster,455
506,cainiao1hao,Grandmaster,453
507,JianXlan,Grandmaster,453
508,폭탄목걸이수련법,Grandmaster,453
509,크리페,Grandmaster,453
510,낙타 미드,Grandmaster,451
511,쿠로미 마스크,Grandmaster,450
512,n1u n1u,Grandmaster,450
513,Zeus Fan1,Grandmaster,450
514,ChoGoT,Grandmaster,450
515,ylwd,Grandmaster,449
516,Fayer,Grandmaster,449
517,늪에 빠지다1,Grandmaster,449
518,부커1,Grandmaster,448
519,nyxxynxyn,Grandmaster,448
520,AFTV 문성규,Grandmaster,448
521,Iras,Grandmaster,447
522,네이름이뭐였더라,Grandmaster,446
523,Pyke 신,Grandmaster,446
524,Adiogs,Grandmaster,446
525,5.71287E+15,Grandmaster,445
526,love again1,Grandmaster,444
527,부드러운계란과자,Grandmaster,444
528,Endless learning,Grandmaster,442
529,dsadsad,Grandmaster,442
530,haoye,Grandmaster,441
531,스물다섯번째밤,Grandmaster,441
532,호우시우보,Grandmaster,441
533,구글롤플릭스검색,Grandmaster,440
534,무슨 꿍꿍이,Grandmaster,440
535,Touwa Eri0,Grandmaster,438
536,zzm7,Grandmaster,438
537,Grinding 24 7,Grandmaster,438
538,젠지 제스트,Grandmaster,438
539,BRO Loopy,Grandmaster,438
540,friigid,Grandmaster,437
541,여행 떠나기,Grandmaster,437
542,은하수의 별,Grandmaster,437
543,renyunyiyun,Grandmaster,436
544,Migung,Grandmaster,436
545,제드팀 검색 구글,Grandmaster,435
546,htrec,Grandmaster,434
547,mahavarata,Grandmaster,434
548,앤 쥐,Grandmaster,434
549,서민의밥상중두,Grandmaster,433
550,박지복,Grandmaster,433
551,asdsafhgfdgfsdaf,Grandmaster,433
552,kplwvyza,Grandmaster,432
553,카사돌,Grandmaster,432
554,카사돌,Grandmaster,432
555,키톤7,Grandmaster,432
556,laji fuzhu,Grandmaster,431
557,순위 재밌다,Grandmaster,430
558,tes sanbanfu,Grandmaster,430
559,fdtft,Grandmaster,430
560,shenzhenshaoye,Grandmaster,429
561,iwilldomybest,Grandmaster,428
562,Onzed,Grandmaster,428
563,인생은회전목마아,Grandmaster,428
564,la elle marie,Grandmaster,427
565,ig5522,Grandmaster,426
566,psss,Grandmaster,426
567,군대가기시러어어,Grandmaster,426
568,노갱뒷감당알아서,Grandmaster,425
569,공부하기시러요,Grandmaster,425
570,qwerty789,Grandmaster,423
571,매우잘하고싶다,Grandmaster,423
572,히끼꼬무리,Grandmaster,423
573,변흥호,Grandmaster,423
574,잠 컨,Grandmaster,422
575,두꺼비압수,Grandmaster,422
576,모두가 건강하길,Grandmaster,421
577,Raindrops Flower,Grandmaster,421
578,강미나,Grandmaster,421
579,민수99,Grandmaster,421
580,Choln,Grandmaster,421
581,1.23457E+11,Grandmaster,419
582,선지자,Grandmaster,419
583,OHWARDJUMPGE,Grandmaster,419
584,세 긴,Grandmaster,419
585,잘하자 이현2022,Grandmaster,419
586,Zooorn,Grandmaster,418
587,3.24141E+14,Grandmaster,418
588,itsumonoyoni,Grandmaster,417
589,noobad03,Grandmaster,417
590,Benit,Grandmaster,417
591,Oh Lovely,Grandmaster,416
592,렐서폿,Grandmaster,416
593,Tao yan pian zi,Grandmaster,415
594,Rio Kairos,Grandmaster,415
595,Kitagawa Kaimu,Grandmaster,414
596,1904D,Grandmaster,414
597,autumnK,Grandmaster,414
598,qfsttltlstzsflsl,Grandmaster,414
599,Monster Genius,Grandmaster,414
600,바보상단 영민,Grandmaster,414
601,애디는말안두뤄,Grandmaster,414
602,민태석,Grandmaster,413
603,오또마,Grandmaster,413
604,평범한 숟가락,Grandmaster,412
605,내나이가어때서어,Grandmaster,412
606,kojhy,Grandmaster,411
607,sanspareil2,Grandmaster,411
608,구글 롤브라더스,Grandmaster,411
609,나는멀리서왔어,Grandmaster,411
610,늘잘하고싶은사람,Grandmaster,411
611,T1 포톤,Grandmaster,411
612,아프리카TV소신,Grandmaster,411
613,MS77,Grandmaster,411
614,캐리나할까,Grandmaster,410
615,INININNOchat,Grandmaster,410
616,S3 ADC,Grandmaster,410
617,연애꽃,Grandmaster,409
618,HamBak1,Grandmaster,408
619,L1fe is Strange,Grandmaster,408
620,문효준,Grandmaster,408
621,시밤게임,Grandmaster,408
622,kfo,Grandmaster,408
623,갈 망 하다0,Grandmaster,407
624,zxcasdqwep,Grandmaster,402
625,G2 Kabishou,Grandmaster,402
626,EIderwood,Grandmaster,402
627,asdqwezxcb,Grandmaster,401
628,Pooh n Bene,Grandmaster,401
629,kiwi doctor,Grandmaster,400
630,준 원,Grandmaster,400
631,무채색의 한남자,Grandmaster,400
632,elole,Grandmaster,400
633,nihao 2022,Grandmaster,399
634,ailoujiang,Grandmaster,399
635,TOPKING,Grandmaster,399
636,Twitch Tv 쥐린내,Grandmaster,399
637,교생관양,Grandmaster,398
638,김도칠,Grandmaster,398
639,악마 넙치,Grandmaster,398
640,Hardcor9,Grandmaster,397
641,LIONISOLATE,Grandmaster,397
642,2000년9월8일,Grandmaster,397
643,자메이카흑인,Grandmaster,397
644,sweet lily,Grandmaster,394
645,나카타잘하는데,Grandmaster,393
646,Saebyuck,Grandmaster,393
647,SLOW Shiba64,Grandmaster,393
648,Frog프로그,Grandmaster,393
649,09원딜프로지향,Grandmaster,392
650,asdhaskjdhjaksdh,Grandmaster,392
651,wonangfei zz,Grandmaster,391
652,aner,Grandmaster,391
653,SDX q754739521,Grandmaster,390
654,더이상만나,Grandmaster,390
655,매혹으짜니,Grandmaster,390
656,kai xin chao ren,Grandmaster,389
657,Tempester,Grandmaster,389
658,icddo,Grandmaster,388
659,Turned to leave,Grandmaster,388
660,Phaseless,Grandmaster,388
661,이품진,Grandmaster,386
662,하루 200점씩 UP,Grandmaster,386
663,주니어주니어,Grandmaster,386
664,0S20,Grandmaster,386
665,아자아자화이팅9,Grandmaster,384
666,광동 광예후,Grandmaster,384
667,uknow11,Grandmaster,384
668,DoDohyunhyun,Grandmaster,384
669,노력 집념 열정,Grandmaster,383
670,DK Rahel,Grandmaster,382
671,Only1oneTap,Grandmaster,381
672,징징이는징징징징,Grandmaster,381
673,talasha,Grandmaster,380
674,Crulser,Grandmaster,378
675,너만사랑하고싶어,Grandmaster,374
676,세마리 도사견,Grandmaster,374
677,그냥 안할꺼야,Grandmaster,374
678,지훈좌의프로토스,Grandmaster,373
679,화내 지 마12,Grandmaster,373
680,여자친구 김예원,Grandmaster,373
681,DWG 암Canyon,Grandmaster,373
682,계속되는 침체,Grandmaster,372
